source_id,target_id,edge_type,notes
project:hindu-frameworks-of-education,thinker:dharampal,draws_on,The Beautiful Tree is the canonical text; Dharampal's archival research is the project's foundation
project:hindu-school-of-history,thinker:dharampal,draws_on,Dharampal's approach to pre-colonial sources is the methodological basis
project:hindu-school-of-history,thinker:km-munshi,draws_on,Munshi's Foundations of Indian Culture is a reference text for Hindu civilizational history
project:battle-for-dharma-north-east,thinker:ram-swarup,draws_on,Voice of India's shatrubodha framework — missionary activity as civilizational threat
project:dangs-anatomy-of-religious-terror,thinker:ram-swarup,draws_on,Same Voice of India analytical framework applied to the Dangs case
project:year-in-hajong-village,thinker:ram-swarup,draws_on,VOI analytical lens on conversion pressure in tribal areas
project:hindu-response-to-enlightenment,thinker:ak-saran,draws_on,Saran's critique of modernity is one of the project's theoretical anchors
project:hindu-response-to-enlightenment,thinker:ivan-illich,draws_on,Illich's institutional critique of modernity as a purva-paksha reference
project:artist-in-art,thinker:kapila-vatsyayana,draws_on,Kapila Vatsyayana's work on the classical arts is the primary scholarly reference
project:artist-in-art,thinker:ms-hiriyanna,draws_on,Hiriyanna's aesthetics — art as expression of Indian philosophical vision
thinker:dharampal,question:will-save-sanatana-dharma,responds_to,Dharampal's entire project is a civilizational recovery programme
thinker:dharampal,question:core-of-sanatana-dharma,responds_to,His research on indigenous knowledge and governance maps the civilizational core
thinker:ram-swarup,question:what-will-destroy,responds_to,His analysis of Islam and Christianity as systemic threats is a direct answer
thinker:ram-swarup,question:will-save-sanatana-dharma,responds_to,Understanding the threat is part of the survival framework
thinker:vs-naipaul,question:being-indian,responds_to,"The India trilogy — An Area of Darkness, A Wounded Civilisation, A Million Mutinies Now — is essentially this question"
thinker:km-munshi,question:being-indian,responds_to,Munshi's cultural nationalism and Bharatiya Vidya Bhavan project
thinker:ak-saran,question:modernity-and-hindu-values,responds_to,The Crisis of Hinduism directly addresses whether Hindu values survive modernity
thinker:ivan-illich,question:modernity-and-hindu-values,responds_to,Illich as purva-paksha: his critique of modernity parallels the Hindu concern from outside
thinker:theodore-dalrymple,question:modernity-and-hindu-values,responds_to,Dalrymple's documentation of modernity's social damage as a purva-paksha parallel
thinker:nassim-nicholas-taleb,question:modernity-and-hindu-values,responds_to,Antifragility offers a non-Hindu but structurally compatible critique of modern rationalism
thinker:ms-hiriyanna,question:core-of-sanatana-dharma,responds_to,Outlines of Indian Philosophy and Essentials are canonical statements of the philosophical core
thinker:kapila-vatsyayana,question:core-of-sanatana-dharma,responds_to,Classical arts as a unified civilizational expression
thinker:sk-rama-rao,question:core-of-sanatana-dharma,responds_to,"Encyclopaedic work on Hindu ritual, temple, and cosmology"
book:bol-the-beautiful-tree,question:will-save-sanatana-dharma,addresses,The definitive text arguing indigenous education systems survived colonialism and can be restored
book:bol-the-beautiful-tree,question:core-of-sanatana-dharma,addresses,Education as civilizational transmission
book:bol-rediscovering-india,question:being-indian,addresses,Dharampal's direct engagement with understanding India on its own terms
book:bol-the-crisis-of-hinduism,question:what-will-destroy,addresses,AK Saran's diagnosis of internal and external crises facing Hinduism
book:bol-the-crisis-of-hinduism,question:modernity-and-hindu-values,addresses,The 'crisis' is precisely the encounter with modernity
"book:bol-essays-on-tradition,-recovery-and-freedom",question:will-save-sanatana-dharma,addresses,"Ram Swarup, Goel, and others argue that recovery of Hindu tradition on its own terms — not reform under Western pressure — is what saves dharma"
book:bol-indian-science-and-technology-in-the-18th-century,question:core-of-sanatana-dharma,addresses,Documents the sophistication of Hindu knowledge systems before colonial disruption
school:dharampal-svayambodha-school,question:will-save-sanatana-dharma,investigates,The school's project is civilizational recovery — the answer to this question
school:dharampal-svayambodha-school,question:core-of-sanatana-dharma,investigates,"Dharampal's archival recovery of indigenous knowledge, governance, and education demonstrates what the Hindu civilizational core actually consisted of"
school:dharampal-svayambodha-school,question:being-indian,investigates,Recovering India's self-understanding is the svayambodha project
school:voice-of-india-shatrubodha-school,question:what-will-destroy,investigates,Voice of India's analytical framework maps the existential threats to Hindu civilisation
school:voice-of-india-shatrubodha-school,question:will-save-sanatana-dharma,investigates,Voice of India argues that intellectual clarity about existential threats — shatrubodha — is a necessary precondition for civilizational survival
school:sri-aurobindo-school,question:modernity-and-hindu-values,investigates,Aurobindo's integral synthesis is a direct answer to this question
school:sri-aurobindo-school,question:will-save-sanatana-dharma,investigates,"Aurobindo's integral vision: India's spiritual consciousness, once awakened and expressed in action, is the engine of civilizational renewal"
school:swami-vivekananda-school,question:will-save-sanatana-dharma,investigates,Vivekananda's neo-Vedanta renaissance is the original Hindu response to this question
school:swami-vivekananda-school,question:being-indian,investigates,Vivekananda's neo-Vedanta project was to articulate Hindu identity — what it means to be Indian — in terms capable of surviving the encounter with modernity
reading-path:arts-performance-and-aesthetics,book:bol-art-experience,path_step,step 1 of 5 | Art Experience
reading-path:arts-performance-and-aesthetics,book:bol-hindustani-music,path_step,step 2 of 5 | Hindustani Music
reading-path:arts-performance-and-aesthetics,book:bol-indian-concept-of-performance,path_step,step 3 of 5 | Indian Concept of Performance
reading-path:arts-performance-and-aesthetics,book:bol-on-natyashastra,path_step,step 4 of 5 | On Natyashastra
reading-path:arts-performance-and-aesthetics,book:bol-the-kalās,path_step,step 5 of 5 | The Kalās
reading-path:darshanas-and-philosophy,book:bol-a-primer-of-indian-logic,path_step,step 1 of 38 | A Primer of Indian Logic
reading-path:darshanas-and-philosophy,book:bol-an-elementary-treatise-on-mimamsa,path_step,step 2 of 38 | An Elementary Treatise on Mimamsa
reading-path:darshanas-and-philosophy,book:bol-gangesa's-theory-of-truth,path_step,step 3 of 38 | Gangesa's Theory of Truth
reading-path:darshanas-and-philosophy,book:bol-gaudapada-karika,path_step,step 4 of 38 | Gaudapada Karika
reading-path:darshanas-and-philosophy,book:bol-gautama's-nyayasutras,path_step,step 5 of 38 | Gautama's Nyayasutras
reading-path:darshanas-and-philosophy,book:bol-gheranda-samhita,path_step,step 6 of 38 | Gheranda Samhita
reading-path:darshanas-and-philosophy,book:bol-hindu-realism-an-introduction-to-vaisheshika,path_step,step 7 of 38 | Hindu Realism An Introduction to Vaisheshika
reading-path:darshanas-and-philosophy,book:bol-outline-of-hindu-philosophy,path_step,step 8 of 38 | Outline of Hindu Philosophy
reading-path:darshanas-and-philosophy,book:bol-paratrishika-vivarana-by-abhinavagupta,path_step,step 9 of 38 | Paratrishika Vivarana by Abhinavagupta
reading-path:darshanas-and-philosophy,book:bol-patanjali's-yogasutras,path_step,step 10 of 38 | Patanjali's Yogasutras
reading-path:darshanas-and-philosophy,book:bol-purva-mimamsa-in-its-sources,path_step,step 11 of 38 | Purva Mimamsa in its Sources
reading-path:darshanas-and-philosophy,book:bol-quintessence-of-brahmasutra,path_step,step 12 of 38 | Quintessence of Brahmasutra
reading-path:darshanas-and-philosophy,book:bol-sankhya-philosophy-by-banerji,path_step,step 13 of 38 | Sankhya Philosophy by Banerji
reading-path:darshanas-and-philosophy,book:bol-sastradipika,path_step,step 14 of 38 | Sastradipika
reading-path:darshanas-and-philosophy,book:bol-siddhantabindu,path_step,step 15 of 38 | Siddhantabindu
reading-path:darshanas-and-philosophy,book:bol-six-ways-of-knowing,path_step,step 16 of 38 | Six Ways of Knowing
reading-path:darshanas-and-philosophy,book:bol-the-nyaya-theory-of-knowledge,path_step,step 17 of 38 | The Nyaya Theory of Knowledge
reading-path:darshanas-and-philosophy,book:bol-the-paramarthasara-of-adisesa,path_step,step 18 of 38 | The Paramarthasara of Adisesa
reading-path:darshanas-and-philosophy,book:bol-the-purva-mimamsa-sutras-of-jaimini,path_step,step 19 of 38 | The Purva Mimamsa Sutras of Jaimini
reading-path:darshanas-and-philosophy,book:bol-the-sankhya-aphorisms-of-kapila,path_step,step 20 of 38 | The Sankhya Aphorisms of Kapila
reading-path:darshanas-and-philosophy,book:bol-the-sankhya-karika-of-iswara-krishna,path_step,step 21 of 38 | The Sankhya Karika of Iswara Krishna
reading-path:darshanas-and-philosophy,book:bol-the-sankhya-philosophy,path_step,step 22 of 38 | The Sankhya Philosophy
reading-path:darshanas-and-philosophy,book:bol-the-sankhya-system-by-keith,path_step,step 23 of 38 | The Sankhya System by Keith
reading-path:darshanas-and-philosophy,book:bol-the-vaisheshika-darshan,path_step,step 24 of 38 | The Vaisheshika Darshan
reading-path:darshanas-and-philosophy,book:bol-the-yogasutras-of-patanjali,path_step,step 25 of 38 | The Yogasutras of Patanjali
reading-path:darshanas-and-philosophy,book:bol-yogasutra-with-commentary-of-madhavacharya,path_step,step 26 of 38 | Yogasutra with Commentary of Madhavacharya
reading-path:darshanas-and-philosophy,book:bol-64-arts-in-ancient-india,path_step,step 27 of 38 | 64 Arts in Ancient India
reading-path:darshanas-and-philosophy,book:bol-amarakosha-english-translation,path_step,step 28 of 38 | Amarakośaḥ Devanāgarī
reading-path:darshanas-and-philosophy,book:bol-introduction-to-iks,path_step,step 29 of 38 | Introduction to IKS
reading-path:darshanas-and-philosophy,"book:bol-language-and-reality,-world-view-of-the-nyaya-vaisesika-system-of-indian-philosophy",path_step,"step 30 of 38 | Language and Reality, World View of the Nyaya-Vaisesika System of Indian Philosophy"
reading-path:darshanas-and-philosophy,"book:bol-essays-on-tradition,-recovery-and-freedom",path_step,"step 31 of 38 | Essays on Tradition, Recovery and Freedom"
reading-path:darshanas-and-philosophy,book:bol-hermeneutics-and-narrative-architecture,path_step,step 32 of 38 | Hermeneutics and Narrative Architecture
reading-path:darshanas-and-philosophy,book:bol-the-crisis-of-hinduism,path_step,step 33 of 38 | The Crisis of Hinduism
reading-path:darshanas-and-philosophy,book:bol-the-perils-of-textual-transmission,path_step,step 34 of 38 | The Perils of Textual Transmission
reading-path:darshanas-and-philosophy,book:bol-the-redemption-of-the-brahman,path_step,step 35 of 38 | The Redemption of the Brahman
reading-path:darshanas-and-philosophy,book:bol-a-study-of-tarakasamgraha-as-compromise-between-nyaya-and-vaisheshika,path_step,step 36 of 38 | A Study of Tarakasamgraha as Compromise Between Nyaya and Vaisheshika
reading-path:darshanas-and-philosophy,book:bol-abhinavagupta-a-historical-and-philosophical-study,path_step,step 37 of 38 | Abhinavagupta a Historical and Philosophical Study
reading-path:darshanas-and-philosophy,book:bol-the-mimamsa-sutras-of-jaimini,path_step,step 38 of 38 | The Mimamsa Sutras of Jaimini
reading-path:dharma-ethics-and-law,book:bol-history-of-dharmashastras-vol-1,path_step,step 1 of 11 | History of Dharmashastras Vol 1
reading-path:dharma-ethics-and-law,book:bol-history-of-dharmashastras-vol-2-part-1,path_step,step 2 of 11 | History of Dharmashastras Vol 2 Part 1
reading-path:dharma-ethics-and-law,book:bol-history-of-dharmashastras-vol-2-part-2,path_step,step 3 of 11 | History of Dharmashastras Vol 2 Part 2
reading-path:dharma-ethics-and-law,book:bol-history-of-dharmashastras-vol-3,path_step,step 4 of 11 | History of Dharmashastras Vol 3
reading-path:dharma-ethics-and-law,book:bol-history-of-dharmashastras-vol-4,path_step,step 5 of 11 | History of Dharmashastras Vol 4
reading-path:dharma-ethics-and-law,book:bol-history-of-dharmashastras-vol-5-part-1,path_step,step 6 of 11 | History of Dharmashastras Vol 5 Part 1
reading-path:dharma-ethics-and-law,book:bol-history-of-dharmashastras-vol-5-part-2,path_step,step 7 of 11 | History of Dharmashastras Vol 5 Part 2
reading-path:dharma-ethics-and-law,book:bol-hindu-dharma,path_step,step 8 of 11 | Hindu Dharma
reading-path:dharma-ethics-and-law,book:bol-elementary-textbook-of-hindu-ethics,path_step,step 9 of 11 | Elementary Textbook of Hindu Religion and Ethics
reading-path:dharma-ethics-and-law,book:bol-advanced-textbook-of-hindu-religion-and-ethics,path_step,step 10 of 11 | Advanced Textbook of Hindu Religion and Ethics
reading-path:dharma-ethics-and-law,book:bol-hindu-dharma-radhakrishnan,path_step,step 11 of 11 | Hindu Dharma Radhakrishnan
reading-path:hinduism-overview,book:bol-essential-coomaraswamy,path_step,step 1 of 6 | Essential Coomaraswamy
reading-path:hinduism-overview,book:bol-future-of-mankind,path_step,step 2 of 6 | Future of Mankind
reading-path:hinduism-overview,book:bol-the-beautiful-tree,path_step,step 3 of 6 | The Beautiful Tree
reading-path:hinduism-overview,book:bol-religious-sects-of-hindus,path_step,step 4 of 6 | Religious Sects of Hindus
reading-path:hinduism-overview,book:bol-all-about-hinduism,path_step,step 5 of 6 | All About Hinduism
reading-path:hinduism-overview,book:bol-hinduism-ancient-and-modern,path_step,step 6 of 6 | Hinduism Ancient and Modern
reading-path:history-polity-and-society,book:bol-arthashastra,path_step,step 1 of 6 | Arthashastra
reading-path:history-polity-and-society,book:bol-civil-disobedience-in-indian-tradition,path_step,step 2 of 6 | Civil Disobedience in Indian Tradition
reading-path:history-polity-and-society,book:bol-gandhis-theory-of-society-and-our-times,path_step,step 3 of 6 | Gandhis Theory of Society and Our Times
reading-path:history-polity-and-society,book:bol-panchayat-raj-and-india's-polity,path_step,step 4 of 6 | Panchayat Raj and India's Polity
reading-path:history-polity-and-society,book:bol-rajatarangini,path_step,step 5 of 6 | Rajatarangini
reading-path:history-polity-and-society,book:bol-rediscovering-india,path_step,step 6 of 6 | Rediscovering India
reading-path:indian-knowledge-systems,book:bol-historical-methods,path_step,step 1 of 5 | Historical Methods
reading-path:indian-knowledge-systems,book:bol-on-the-nature-of-mathematics-and-scientific-knowledge-in-indian-tradition,path_step,step 2 of 5 | On the Nature of Mathematics and Scientific Knowledge in Indian Tradition
reading-path:indian-knowledge-systems,book:bol-indian-science-and-technology-in-the-18th-century,path_step,step 3 of 5 | Indian Science and Technology in the 18th Century
reading-path:indian-knowledge-systems,book:bol-agnihotra-kranti,path_step,step 4 of 5 | Agnihotra Kranti
reading-path:indian-knowledge-systems,book:bol-lokopakara,path_step,step 5 of 5 | Lokopakara
reading-path:indology-and-civilizational-critique,book:bol-cry-hindutva-how-rhetoric-trumps-intellect,path_step,step 1 of 20 | Cry Hindutva How Rhetoric Trumps Intellect
reading-path:indology-and-civilizational-critique,book:bol-german-indology-aryanism-and-anti-semitism,path_step,step 2 of 20 | German Indology Aryanism and Anti Semitism
reading-path:indology-and-civilizational-critique,book:bol-greeks-in-india,path_step,step 3 of 20 | Greeks in India
reading-path:indology-and-civilizational-critique,book:bol-heidegger-and-the-inquiry-into-technology,path_step,step 4 of 20 | Heidegger and the Inquiry into Technology
reading-path:indology-and-civilizational-critique,book:bol-hindu-studies-in-a-secular-academy,path_step,step 5 of 20 | Hindu Studies in a Secular Academy
reading-path:indology-and-civilizational-critique,book:bol-hindu-temples-vol-1,path_step,step 6 of 20 | Hindu Temples Vol 1
reading-path:indology-and-civilizational-critique,book:bol-hindu-temples-vol-2,path_step,step 7 of 20 | Hindu Temples Vol 2
reading-path:indology-and-civilizational-critique,book:bol-how-i-became-a-hindu,path_step,step 8 of 20 | How I Became a Hindu
reading-path:indology-and-civilizational-critique,book:bol-jews-and-hindus-in-indology,path_step,step 9 of 20 | Jews and Hindus in Indology
reading-path:indology-and-civilizational-critique,book:bol-methods-and-context-rethinking-religion,path_step,step 10 of 20 | Methods and Context Rethinking Religion
reading-path:indology-and-civilizational-critique,book:bol-paradigm-lost-the-application-of-the-historical-critical-method-to-the-bhagavadgita,path_step,step 11 of 20 | Paradigm Lost the Application of the Historical Critical Method to the Bhagavadgita
reading-path:indology-and-civilizational-critique,book:bol-philosophy-and-criticism,path_step,step 12 of 20 | Philosophy and Criticism
reading-path:indology-and-civilizational-critique,book:bol-poetic-immortality-to-salvation,path_step,step 13 of 20 | Poetic Immortality to Salvation
reading-path:indology-and-civilizational-critique,book:bol-pride-and-prejudice-orientalism-and-germany,path_step,step 14 of 20 | Pride and Prejudice Orientalism and Germany
reading-path:indology-and-civilizational-critique,book:bol-the-banality-of-indology,path_step,step 15 of 20 | The Banality of Indology
reading-path:indology-and-civilizational-critique,book:bol-the-nay-science,path_step,step 16 of 20 | The Nay Science
reading-path:indology-and-civilizational-critique,book:bol-the-origins-of-racism-in-the-humanities,path_step,step 17 of 20 | The Origins of Racism in the Humanities
reading-path:indology-and-civilizational-critique,book:bol-the-passion-of-paul-hacker,path_step,step 18 of 20 | The Passion of Paul Hacker
reading-path:indology-and-civilizational-critique,book:bol-the-real-threat-to-humanities-today,path_step,step 19 of 20 | The Real Threat to Humanities Today
reading-path:indology-and-civilizational-critique,book:bol-theses-on-indology,path_step,step 20 of 20 | Theses on Indology
reading-path:language-logic-and-sanskrit,"book:bol-logic,-language-and-reality",path_step,"step 1 of 12 | Logic, Language and Reality"
reading-path:language-logic-and-sanskrit,book:bol-theories-of-language,path_step,step 2 of 12 | Theories of Language
reading-path:language-logic-and-sanskrit,book:bol-a-scheme-for-knowledge-representation-in-samskritam,path_step,step 3 of 12 | A Scheme for Knowledge Representation in Samskritam
reading-path:language-logic-and-sanskrit,book:bol-bhartṛhari’s-linguistic-ontology-and-the-semantics-of-ātmanepada,path_step,step 4 of 12 | Bhartṛhari’s Linguistic Ontology and the Semantics of Ātmanepada
reading-path:language-logic-and-sanskrit,book:bol-the-knowledge-structure-in-the-amarakosha,path_step,step 5 of 12 | The Knowledge Structure in the Amarakosha
reading-path:language-logic-and-sanskrit,b1000:345,path_step,step 6 of 12 | Vākyapadīya
reading-path:language-logic-and-sanskrit,book:bol-amarakosha-english-translation,path_step,step 7 of 12 | Amarakosha English Translation
reading-path:language-logic-and-sanskrit,book:bol-ideas-of-history-in-sanskrit-literature,path_step,step 8 of 12 | Ideas of History in Sanskrit Literature
reading-path:language-logic-and-sanskrit,book:bol-illustrated-amarakosha-in-4-languages,path_step,step 9 of 12 | Illustrated Amarakosha in 4 Languages
reading-path:language-logic-and-sanskrit,book:bol-introduction-to-sanskrit-shabdamitra,path_step,step 10 of 12 | Introduction to Sanskrit Shabdamitra
reading-path:language-logic-and-sanskrit,book:bol-a-practical-sanskrit-introductory,path_step,step 11 of 12 | A Practical Sanskrit Introductory
reading-path:language-logic-and-sanskrit,book:bol-sanskrit-grammar,path_step,step 12 of 12 | Sanskrit Grammar
reading-path:puranic-and-itihasic-literature,book:bol-agni-purana,path_step,step 1 of 22 | Agni Purana
reading-path:puranic-and-itihasic-literature,book:bol-bhagavata-purana,path_step,step 2 of 22 | Bhagavata Purana
reading-path:puranic-and-itihasic-literature,book:bol-brahma-purana,path_step,step 3 of 22 | Brahma Purana
reading-path:puranic-and-itihasic-literature,book:bol-brahmanda-purana,path_step,step 4 of 22 | Brahmanda Purana
reading-path:puranic-and-itihasic-literature,book:bol-garuda-purana,path_step,step 5 of 22 | Garuda Purana
reading-path:puranic-and-itihasic-literature,book:bol-geography-of-the-puranas,path_step,step 6 of 22 | Geography of the Puranas
reading-path:puranic-and-itihasic-literature,book:bol-harivansha-purana,path_step,step 7 of 22 | Harivansha Purana
reading-path:puranic-and-itihasic-literature,book:bol-kurma-purana,path_step,step 8 of 22 | Kurma Purana
reading-path:puranic-and-itihasic-literature,book:bol-linga-purana,path_step,step 9 of 22 | Linga Purana
reading-path:puranic-and-itihasic-literature,book:bol-markandeya-purana,path_step,step 10 of 22 | Markandeya Purana
reading-path:puranic-and-itihasic-literature,book:bol-matsya-purana,path_step,step 11 of 22 | Matsya Purana
reading-path:puranic-and-itihasic-literature,book:bol-narada-purana,path_step,step 12 of 22 | Narada Purana
reading-path:puranic-and-itihasic-literature,book:bol-padma-purana,path_step,step 13 of 22 | Padma Purana
reading-path:puranic-and-itihasic-literature,book:bol-shiva-purana,path_step,step 14 of 22 | Shiva Purana
reading-path:puranic-and-itihasic-literature,book:bol-skanda-purana,path_step,step 15 of 22 | Skanda Purana
reading-path:puranic-and-itihasic-literature,book:bol-vamana-purana,path_step,step 16 of 22 | Vamana Purana
reading-path:puranic-and-itihasic-literature,book:bol-varaha-purana,path_step,step 17 of 22 | Varaha Purana
reading-path:puranic-and-itihasic-literature,book:bol-vayu-purana,path_step,step 18 of 22 | Vayu Purana
reading-path:puranic-and-itihasic-literature,book:bol-vishnu-purana,path_step,step 19 of 22 | Vishnu Purana
reading-path:puranic-and-itihasic-literature,book:bol-argument-and-design-the-unity-of-the-mahabharata,path_step,step 20 of 22 | Argument and Design the Unity of the Mahabharata
reading-path:puranic-and-itihasic-literature,book:bol-katha-sarit-sagar,path_step,step 21 of 22 | Katha Sarit Sagar
reading-path:puranic-and-itihasic-literature,book:bol-prolegomena-to-any-future-mahabharata-studies,path_step,step 22 of 22 | Prolegomena to any Future Mahabharata Studies
reading-path:vedic-and-upanishadic-texts,book:bol-the-advaita-vedanta-of-brahmasiddhi,path_step,step 1 of 20 | The Advaita Vedanta of Brahmasiddhi
reading-path:vedic-and-upanishadic-texts,book:bol-the-vedas,path_step,step 2 of 20 | The Vedas
reading-path:vedic-and-upanishadic-texts,book:bol-aitareya-upanishad,path_step,step 3 of 20 | Aitareya Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-brhadaranyak-upanishad,path_step,step 4 of 20 | Brhadaranyak Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-chandogya-upanishad,path_step,step 5 of 20 | Chandogya Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-isha-upanishad,path_step,step 6 of 20 | Isha Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-katha-upanishad,path_step,step 7 of 20 | Katha Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-kena-upanishad,path_step,step 8 of 20 | Kena Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-maitrayaniya-upanishad,path_step,step 9 of 20 | Maitrayaniya Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-mandukya-upanishad,path_step,step 10 of 20 | Mandukya Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-mundaka-upanishad,path_step,step 11 of 20 | Mundaka Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-prashna-upanishad,path_step,step 12 of 20 | Prashna Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-taittiriya-upanishad,path_step,step 13 of 20 | Taittiriya Upanishad
reading-path:vedic-and-upanishadic-texts,book:bol-light-of-the-vedas,path_step,step 14 of 20 | Light of the Vedas
reading-path:vedic-and-upanishadic-texts,book:bol-rigveda-a-historical-analysis,path_step,step 15 of 20 | Rigveda a Historical Analysis
reading-path:vedic-and-upanishadic-texts,book:bol-the-riks,path_step,step 16 of 20 | The Riks
reading-path:vedic-and-upanishadic-texts,book:bol-the-secret-of-the-veda,path_step,step 17 of 20 | The Secret of the Veda
reading-path:vedic-and-upanishadic-texts,book:bol-treatise-on-rigveda,path_step,step 18 of 20 | Treatise on Rigveda
reading-path:vedic-and-upanishadic-texts,book:bol-wisdom-of-the-ancient-seers,path_step,step 19 of 20 | Wisdom of the Ancient Seers
reading-path:vedic-and-upanishadic-texts,book:bol-gulmavrikshayurveda,path_step,step 20 of 20 | Gulmavrikshayurveda
question:core-of-sanatana-dharma,blog:dharmikagene,path_step,step 1 of 5 | Dharma as civilizational DNA
question:core-of-sanatana-dharma,blog:four-aphorisms,path_step,step 2 of 5 | Caturasūtra — the most compact articulation of the Dhārmika frame
question:core-of-sanatana-dharma,blog:difference-between-us,path_step,step 3 of 5 | Metaphysical root: one-life vs. multiple-life cosmologies
question:core-of-sanatana-dharma,"book:bol-logic,-language-and-reality",path_step,"step 4 of 5 | Bimal Krishna Matilal on logic, language and reality in Indian thought"
question:core-of-sanatana-dharma,thinker:ms-hiriyanna,path_step,step 5 of 5 | Hiriyanna’s systematic survey of Hindu philosophy
question:will-save-sanatana-dharma,blog:bodha-pyramid-of-priorities-nature-of-hindu-orgs,path_step,step 1 of 4 | Bodha on the nature of Hindu organizations
question:will-save-sanatana-dharma,blog:svayambodha-shatrubodha,path_step,step 2 of 4 | The two-wheel framework as survival mechanism
question:will-save-sanatana-dharma,school:dharampal-svayambodha-school,path_step,step 3 of 4 | Dharampal School as a candidate for generative institution
question:will-save-sanatana-dharma,thinker:dharampal,path_step,step 4 of 4 | Dharampal’s archival recovery as a model of civilizational rescue
question:being-indian,book:bol-how-i-became-a-hindu,path_step,step 1 of 4 | Sita Ram Goel on civilizational self-understanding
question:being-indian,external-article:we-the-hindus-what-the-cab-means-for-hindu-civilization,path_step,step 2 of 4 | Civilizational reading of post-Partition identity
question:being-indian,external-article:man-turned-skull-cap-india-sees-narendra-modi,path_step,step 3 of 4 | Symbolic politics and civilizational self-respect
