id,name,author,type,link,linkreal,slug,linkfinal,description,short,linkfinal2
11,Paradigm Lost the Application of the Historical Critical Method to the Bhagavadgita,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1QLHDi1kkXGImTLinojnk0YoizaZNpJKU/view?usp=sharing,https://drive.google.com/file/d/1QLHDi1kkXGImTLinojnk0YoizaZNpJKU/preview,paradigm-lost-the-application-of-the-historical-critical-method-to-the-bhagavadgita,/library/paradigm-lost-the-application-of-the-historical-critical-method-to-the-bhagavadgita,,Critique of applying historical-critical methods reductively to the Bhagavad Gita.,/library/books/paradigm-lost-the-application-of-the-historical-critical-method-to-the-bhagavadgita
12,Philosophy and Criticism,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1d6hoBDlzZpU1mnYt5-XPLekj8EtuAbOr/view?usp=sharing,https://drive.google.com/file/d/1d6hoBDlzZpU1mnYt5-XPLekj8EtuAbOr/preview,philosophy-and-criticism,/library/philosophy-and-criticism,,Essay on the relation between philosophical interpretation and critical academic method.,/library/books/philosophy-and-criticism
13,Poetic Immortality to Salvation,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1j5RXzzwm7AIZ8IpLG_z1ec2PGflT9wfj/view?usp=sharing,https://drive.google.com/file/d/1j5RXzzwm7AIZ8IpLG_z1ec2PGflT9wfj/preview,poetic-immortality-to-salvation,/library/poetic-immortality-to-salvation,,Study tracing shifts from heroic-poetic ideals toward soteriological concerns in Sanskrit traditions.,/library/books/poetic-immortality-to-salvation
14,Pride and Prejudice Orientalism and Germany,Vishwa Adluri,shatrubodha,https://drive.google.com/file/d/1zfgOKyXGI804G_poA-9JikLTNdUwzlyx/view?usp=sharing,https://drive.google.com/file/d/1zfgOKyXGI804G_poA-9JikLTNdUwzlyx/preview,pride-and-prejudice-orientalism-and-germany,/library/pride-and-prejudice-orientalism-and-germany,,Study of German orientalism and the ideological lenses shaping Indological interpretation.,/library/books/pride-and-prejudice-orientalism-and-germany
15,The Banality of Indology,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1KyKjGKI74Vjv7TVEUbGikRG7T3qa5Xyf/view?usp=sharing,https://drive.google.com/file/d/1KyKjGKI74Vjv7TVEUbGikRG7T3qa5Xyf/preview,the-banality-of-indology,/library/the-banality-of-indology,,Sharp critique of routinized assumptions and methodological shallowness in Indological scholarship.,/library/books/the-banality-of-indology
16,The Nay Science,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1xeJ0skZrknlSxl_EHNjddt6teRrFO1JG/view?usp=sharing,https://drive.google.com/file/d/1xeJ0skZrknlSxl_EHNjddt6teRrFO1JG/preview,the-nay-science,/library/the-nay-science,,"Provocative reflection on scholarship, critique, and the ideological posture of academic knowledge.",/library/books/the-nay-science
17,The Origins of Racism in the Humanities,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1YrgQOw9vfZ59ysw4M4p3C8qcJTtq20aK/view?usp=sharing,https://drive.google.com/file/d/1YrgQOw9vfZ59ysw4M4p3C8qcJTtq20aK/preview,the-origins-of-racism-in-the-humanities,/library/the-origins-of-racism-in-the-humanities,,Argument about how racial categories entered humanistic scholarship through philology and related disciplines.,/library/books/the-origins-of-racism-in-the-humanities
18,The Passion of Paul Hacker,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1i95xecQpAJGFP0qKvKlNfJAi7cjmv-hx/view?usp=sharing,https://drive.google.com/file/d/1i95xecQpAJGFP0qKvKlNfJAi7cjmv-hx/preview,the-passion-of-paul-hacker,/library/the-passion-of-paul-hacker,,Critical study of Paul Hacker and the theological-political assumptions behind his work on Hindu traditions.,/library/books/the-passion-of-paul-hacker
19,The Real Threat to Humanities Today,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1oGWGVILk97uBwLb179toBsWxd1f5qRf5/view?usp=sharing,https://drive.google.com/file/d/1oGWGVILk97uBwLb179toBsWxd1f5qRf5/preview,the-real-threat-to-humanities-today,/library/the-real-threat-to-humanities-today,,"Essay arguing that methodological decay, not external pressure alone, endangers the humanities.",/library/books/the-real-threat-to-humanities-today
20,Theses on Indology,"Vishwa Adluri, Joydeep Bagchee",shatrubodha,https://drive.google.com/file/d/1hM_MX4e80dN-_f9eoeAhXUbIhOjipWNj/view?usp=sharing,https://drive.google.com/file/d/1hM_MX4e80dN-_f9eoeAhXUbIhOjipWNj/preview,theses-on-indology,/library/theses-on-indology,,Programmatic theses outlining a critique of Indology and an alternative scholarly orientation.,/library/books/theses-on-indology
21,A Primer of Indian Logic,S. Kuppuswami Sastri,darshana,https://drive.google.com/file/d/173OaCMf2M8QA1Wi2dPQBkycRoydk7MjG/view?usp=sharing,https://drive.google.com/file/d/173OaCMf2M8QA1Wi2dPQBkycRoydk7MjG/preview,a-primer-of-indian-logic,/library/a-primer-of-indian-logic,"S. Kuppuswami Sastri’s A Primer of Indian Logic serves as a comprehensive educational bridge between classical Sanskrit scholarship and modern English-speaking students by providing a systematic introduction to the Nyāya-Vaiśeṣika philosophical system. The work is structured around the Tarkasamgraha of Annambhatta, offering the original text in Devanagari and transliteration alongside a detailed, comparative exposition of Indian epistemology and metaphysics. Sastri’s primary purpose is to elucidate the science of methodical reasoning, which encompasses both the inductive observation of the Vaiśeṣika school and the deductive syllogistic framework of the Nyāya school. By meticulously defining the seven categories (padārthas) and the sources of valid knowledge (pramāņas), the author demonstrates that Indian logic is not merely a formal grammar of thought, but a spiritual discipline aimed at achieving final emancipation (mukti). Ultimately, the text highlights the unique syncretism of Indian systems, where logic, psychology, and ontology are harmoniously integrated to facilitate a rigorous investigation of truth and reality.","Introductory exposition of Indian logical method, categories, inference, and debate using the Tarkasangraha tradition.",/library/books/a-primer-of-indian-logic
22,An Elementary Treatise on Mimamsa,Laugakshi Bhaskara,darshana,https://drive.google.com/file/d/1b2EN7agVDcbm2jrQUEYZ9g-_Z8p-t8tP/view?usp=sharing,https://drive.google.com/file/d/1b2EN7agVDcbm2jrQUEYZ9g-_Z8p-t8tP/preview,an-elementary-treatise-on-mimamsa,/library/an-elementary-treatise-on-mimamsa,"This document is a translated excerpt from the Artha-samgraha, a foundational Sanskrit manual authored by Laugakshi Bhaskara in the late 17th century to introduce students to the Mimamsa-sastra. The text focuses on the systematic interpretation of the Vedas, specifically the Karma-kanda or the section regarding sacrificial action, by defining Dharma as a duty validated by scripture to achieve a purposeful result. The author meticulously categorises the Veda into five parts—injunctions, mantras, names, prohibitions, and explanatory statements—while detailing the linguistic mechanics of Bhavana, or the ""productive energy"" that compels a person to perform religious acts. Central to this treatise are the six means of proof (such as direct statement and interdependence) used to determine the hierarchical relationship between primary sacrifices and their subsidiary parts. Ultimately, the work serves as a logical framework for constructing ritual manuals, aiming to prove that every syllable of the sacred texts possesses a visible, practical utility in the pursuit of spiritual and worldly rewards.","Accessible introduction to Mimamsa principles, Vedic injunctions, and hermeneutical reasoning.",/library/books/an-elementary-treatise-on-mimamsa
23,Gangesa's Theory of Truth,Jitendra Nath Mohanty,darshana,https://drive.google.com/file/d/1EUom-VYFCgSenhoK226CRQzxJlIoRDk2/view?usp=sharing,https://drive.google.com/file/d/1EUom-VYFCgSenhoK226CRQzxJlIoRDk2/preview,gangesas-theory-of-truth,/library/gangesas-theory-of-truth,"This resource serves as a digital gateway to the philosophical ideas of the Indian logician Gangesa, primarily focusing on his sophisticated epistemological definitions of reality. Hosted by the Bodha organisation, the platform organises deep intellectual enquiries into classical Indian schools of thought through a structured mix of academic essays, research notes, and primary scriptures. The primary objective is to facilitate a comprehensive cultural immersion by connecting ancient logical traditions with modern scholarly research. Consequently, the source acts as both an educational archive and a contemporary research hub for those seeking to understand the fundamental nature of truth within the Darshana tradition.",Study of Navya-Nyaya truth theory and the epistemic conditions of valid cognition.,/library/books/gangesas-theory-of-truth
24,Gaudapada Karika,Gaudapada,darshana,https://drive.google.com/file/d/12Bf_9Zn2iq2JoyR3eglyNBPgIY0q-Su0/view?usp=sharing,https://drive.google.com/file/d/12Bf_9Zn2iq2JoyR3eglyNBPgIY0q-Su0/preview,gaudapada-karika,/library/gaudapada-karika,,"Classical Advaita work on non-duality, consciousness, and the Mandukya Upanishad.",/library/books/gaudapada-karika
25,Gautama's Nyayasutras,Gautama,darshana,https://drive.google.com/file/d/1DDbWYVHLayngxT0YuXdJT1NeR1lazeCA/view?usp=sharing,https://drive.google.com/file/d/1DDbWYVHLayngxT0YuXdJT1NeR1lazeCA/preview,gautamas-nyayasutras,/library/gautamas-nyayasutras,,"Edition or translation of the foundational Nyaya sutras on knowledge, inference, debate, and liberation.",/library/books/gautamas-nyayasutras
26,Gheranda Samhita,Translated by Srisa Chandra Vasu,darshana,https://drive.google.com/file/d/1kuf93DQ4_GME6gJBIjKaQ8w2mh-dnuBJ/view?usp=sharing,https://drive.google.com/file/d/1kuf93DQ4_GME6gJBIjKaQ8w2mh-dnuBJ/preview,gheranda-samhita,/library/gheranda-samhita,,"Hatha yoga manual on bodily discipline, purification, mudra, meditation, and yogic accomplishment.",/library/books/gheranda-samhita
27,Hindu Realism An Introduction to Vaisheshika,JC Chatterjee,darshana,https://drive.google.com/file/d/1qEC23m1pVLj4GKWNNBDpTPVMLfron6qP/view?usp=sharing,https://drive.google.com/file/d/1qEC23m1pVLj4GKWNNBDpTPVMLfron6qP/preview,hindu-realism-an-introduction-to-vaisheshika,/library/hindu-realism-an-introduction-to-vaisheshika,,"Introductory study of Vaisheshika realism, categories of being, and metaphysical analysis.",/library/books/hindu-realism-an-introduction-to-vaisheshika
28,History of Dharmashastras Vol 1,PV Kane,scriptural,https://drive.google.com/file/d/1eQeeZlJi0Z-zAgDDeTsgU2vB8dHoJls1/view?usp=sharing,https://drive.google.com/file/d/1eQeeZlJi0Z-zAgDDeTsgU2vB8dHoJls1/preview,history-of-dharmashastras-vol-1,/library/history-of-dharmashastras-vol-1,,"Reference study of dharmashastra literature, sources of dharma, and the historical formation of legal-ritual norms.",/library/books/history-of-dharmashastras-vol-1
29,History of Dharmashastras Vol 2 Part 1,PV Kane,scriptural,https://drive.google.com/file/d/1hTaGR-wr0XWn1EteUOt8ETnkDY6IkujX/view?usp=sharing,https://drive.google.com/file/d/1hTaGR-wr0XWn1EteUOt8ETnkDY6IkujX/preview,history-of-dharmashastras-vol-2-part-1,/library/history-of-dharmashastras-vol-2-part-1,,"Reference study of dharmashastra literature with focus on ritual, samskara, and normative practice.",/library/books/history-of-dharmashastras-vol-2-part-1
30,History of Dharmashastras Vol 2 Part 2,PV Kane,scriptural,https://drive.google.com/file/d/1xWFodZHthTWTcM9IMNHhnf-oBCmjT3wB/view?usp=sharing,https://drive.google.com/file/d/1xWFodZHthTWTcM9IMNHhnf-oBCmjT3wB/preview,history-of-dharmashastras-vol-2-part-2,/library/history-of-dharmashastras-vol-2-part-2,,"Reference study of dharmashastra literature continuing discussion of rites, duties, and normative institutions.",/library/books/history-of-dharmashastras-vol-2-part-2
31,History of Dharmashastras Vol 3,PV Kane,scriptural,https://drive.google.com/file/d/1ma0n2HKuNMinQTiaMtjCpVQEozSmQt9_/view?usp=sharing,https://drive.google.com/file/d/1ma0n2HKuNMinQTiaMtjCpVQEozSmQt9_/preview,history-of-dharmashastras-vol-3,/library/history-of-dharmashastras-vol-3,,"Reference study of dharmashastra themes including social duties, legal procedure, and normative ordering.",/library/books/history-of-dharmashastras-vol-3
32,History of Dharmashastras Vol 4,PV Kane,scriptural,https://drive.google.com/file/d/1_6e82yPn-bqlkxUR42n2HSteGtVC-qX8/view?usp=sharing,https://drive.google.com/file/d/1_6e82yPn-bqlkxUR42n2HSteGtVC-qX8/preview,history-of-dharmashastras-vol-4,/library/history-of-dharmashastras-vol-4,,"Reference study of dharmashastra themes with detailed treatment of law, custom, and social institutions.",/library/books/history-of-dharmashastras-vol-4
33,History of Dharmashastras Vol 5 Part 1,PV Kane,scriptural,https://drive.google.com/file/d/196NS7BxV1hC4PyVHbBRIF-5vh5XCKlm_/view?usp=sharing,https://drive.google.com/file/d/196NS7BxV1hC4PyVHbBRIF-5vh5XCKlm_/preview,history-of-dharmashastras-vol-5-part-1,/library/history-of-dharmashastras-vol-5-part-1,,"Reference study of later dharmashastra topics, jurisprudence, and social-religious regulation.",/library/books/history-of-dharmashastras-vol-5-part-1
34,History of Dharmashastras Vol 5 Part 2,PV Kane,scriptural,https://drive.google.com/file/d/1Ad5Orai6PH-VxjkhYSfC3FrMtqCYD7Mg/view?usp=sharing,https://drive.google.com/file/d/1Ad5Orai6PH-VxjkhYSfC3FrMtqCYD7Mg/preview,history-of-dharmashastras-vol-5-part-2,/library/history-of-dharmashastras-vol-5-part-2,,Reference study completing the dharmashastra series with later legal and ritual materials.,/library/books/history-of-dharmashastras-vol-5-part-2
35,"Logic, Language and Reality",Bimal Krishna Matilal,darshana,https://drive.google.com/file/d/1oFtlwlAkTPCnbyup45c2i9G2CZxRgyGi/view?usp=sharing,https://drive.google.com/file/d/1oFtlwlAkTPCnbyup45c2i9G2CZxRgyGi/preview,logic-language-and-reality,/library/logic-language-and-reality,,"Philosophical study connecting logic, linguistic analysis, and theories of reality in Indian thought.",/library/books/logic-language-and-reality
36,Outline of Hindu Philosophy,M. Hiriyanna,darshana,https://drive.google.com/file/d/1Xiv5Yzc2OjIN1OPKDjmVwGxtSl8EnubA/view?usp=sharing,https://drive.google.com/file/d/1Xiv5Yzc2OjIN1OPKDjmVwGxtSl8EnubA/preview,outline-of-hindu-philosophy,/library/outline-of-hindu-philosophy,,Broad survey of major schools and recurrent philosophical themes in Hindu thought.,/library/books/outline-of-hindu-philosophy
37,Paratrishika Vivarana by Abhinavagupta,Jaideva Singh,darshana,https://drive.google.com/file/d/1LDDejSQZWyhiBaCibyZ-ib3TcI4odFY6/view?usp=sharing,https://drive.google.com/file/d/1LDDejSQZWyhiBaCibyZ-ib3TcI4odFY6/preview,paratrishika-vivarana-by-abhinavagupta,/library/paratrishika-vivarana-by-abhinavagupta,,"Abhinavagupta’s esoteric Shaiva commentary on language, mantra, consciousness, and manifestation.",/library/books/paratrishika-vivarana-by-abhinavagupta
38,Patanjali's Yogasutras,Patanjali,darshana,https://drive.google.com/file/d/1I00JOwiW-QdmCUDrL1n9kDhpr9HEZ_ZA/view?usp=sharing,https://drive.google.com/file/d/1I00JOwiW-QdmCUDrL1n9kDhpr9HEZ_ZA/preview,patanjalis-yogasutras,/library/patanjalis-yogasutras,,"Edition or translation of the Yoga Sutras with emphasis on mind, practice, samadhi, and liberation.",/library/books/patanjalis-yogasutras
39,Purva Mimamsa in its Sources,Dr. Ganganatha Jha,darshana,https://drive.google.com/file/d/1Z0bzJLvwtgnBNF_Zc6WvUAMCZAizFRDb/view?usp=sharing,https://drive.google.com/file/d/1Z0bzJLvwtgnBNF_Zc6WvUAMCZAizFRDb/preview,purva-mimamsa-in-its-sources,/library/purva-mimamsa-in-its-sources,,Source-based introduction to Purva Mimamsa doctrine and textual method.,/library/books/purva-mimamsa-in-its-sources
40,Quintessence of Brahmasutra,Mahamahopadhyaya Iranganti Rangacharya,darshana,https://drive.google.com/file/d/1cG75-S_Jl6khL7YhVKkam_-ME0dSmjGL/view?usp=sharing,https://drive.google.com/file/d/1cG75-S_Jl6khL7YhVKkam_-ME0dSmjGL/preview,quintessence-of-brahmasutra,/library/quintessence-of-brahmasutra,,Introductory digest of Vedanta centered on the Brahmasutra tradition and its key metaphysical claims.,/library/books/quintessence-of-brahmasutra
41,Sankhya Philosophy by Banerji,Chandra Banerji,darshana,https://drive.google.com/file/d/1BijXuDcmp5pVKzxXJ3bVjw5U3qLht0UG/view?usp=sharing,https://drive.google.com/file/d/1BijXuDcmp5pVKzxXJ3bVjw5U3qLht0UG/preview,sankhya-philosophy-by-banerji,/library/sankhya-philosophy-by-banerji,,Interpretive exposition of the Sankhya school and its key doctrines.,/library/books/sankhya-philosophy-by-banerji
42,Sastradipika,"Parthasarathi Mishra, translated by D. Venkatramiah",darshana,https://drive.google.com/file/d/18CjQ3-mPbXeeuaBBhb-G94KX3_MxEGBS/view?usp=sharing,https://drive.google.com/file/d/18CjQ3-mPbXeeuaBBhb-G94KX3_MxEGBS/preview,sastradipika,/library/sastradipika,,"Classical Mimamsa text on interpretation, injunction, and the structure of Vedic authority.",/library/books/sastradipika
43,Siddhantabindu,"Srimat Madhusudana Sarasvati, translated by Achalananda",darshana,https://drive.google.com/file/d/1o33Bnk6WddgKsKnxAGN4SWtY4hOf1cm0/view?usp=sharing,https://drive.google.com/file/d/1o33Bnk6WddgKsKnxAGN4SWtY4hOf1cm0/preview,siddhantabindu,/library/siddhantabindu,,Vedantic sub-commentarial text presenting core Advaita positions in a compact form.,/library/books/siddhantabindu
44,Six Ways of Knowing,D.M. Datta,darshana,https://drive.google.com/file/d/1Z_yhDhEzvFHzWHZjPqRJrAGs4HdfcMvo/view?usp=sharing,https://drive.google.com/file/d/1Z_yhDhEzvFHzWHZjPqRJrAGs4HdfcMvo/preview,six-ways-of-knowing,/library/six-ways-of-knowing,,Scholarly work on Indian thought and civilization with relevance to the themes signaled by its title.,/library/books/six-ways-of-knowing
45,The Advaita Vedanta of Brahmasiddhi,Allen Wright Thrasher,darshana,https://drive.google.com/file/d/1i3UXbNSqsM2m80xDaxBvz8f0tKeRStDD/view?usp=sharing,https://drive.google.com/file/d/1i3UXbNSqsM2m80xDaxBvz8f0tKeRStDD/preview,the-advaita-vedanta-of-brahmasiddhi,/library/the-advaita-vedanta-of-brahmasiddhi,,Study of the Brahmasiddhi tradition and major issues in Advaita metaphysics and epistemology.,/library/books/the-advaita-vedanta-of-brahmasiddhi
46,The Nyaya Theory of Knowledge,S.C. Chatterjee,darshana,https://drive.google.com/file/d/17v8bWQsmTWKW_XFw5Cz9tiC3XJJk833O/view?usp=sharing,https://drive.google.com/file/d/17v8bWQsmTWKW_XFw5Cz9tiC3XJJk833O/preview,the-nyaya-theory-of-knowledge,/library/the-nyaya-theory-of-knowledge,,"Study of Nyaya epistemology with emphasis on pramanas, error, and valid cognition.",/library/books/the-nyaya-theory-of-knowledge
47,The Paramarthasara of Adisesa,Adi Sesa,darshana,https://drive.google.com/file/d/1c2gNm7h-YghKhosK-GAV7ss2WsB4yx3Q/view?usp=sharing,https://drive.google.com/file/d/1c2gNm7h-YghKhosK-GAV7ss2WsB4yx3Q/preview,the-paramarthasara-of-adisesa,/library/the-paramarthasara-of-adisesa,,Philosophical text associated with non-dual Shaiva traditions and the path to liberation.,/library/books/the-paramarthasara-of-adisesa
48,The Purva Mimamsa Sutras of Jaimini,"Jaimini, translated by Dr. Ganganatha Jha",darshana,https://drive.google.com/file/d/1_Mfyk6B1f-yxXAKsWaaLcT9bwJ8R6C5S/view?usp=sharing,https://drive.google.com/file/d/1_Mfyk6B1f-yxXAKsWaaLcT9bwJ8R6C5S/preview,the-purva-mimamsa-sutras-of-jaimini,/library/the-purva-mimamsa-sutras-of-jaimini,,"Foundational Mimamsa sutra text on ritual duty, injunction, and scriptural interpretation.",/library/books/the-purva-mimamsa-sutras-of-jaimini
49,The Sankhya Aphorisms of Kapila,"Kapila, translated by J. Ballantyne",darshana,https://drive.google.com/file/d/1j1p7Sg7SGGX68gsrWLTl1Ps0rnKzoqjg/view?usp=sharing,https://drive.google.com/file/d/1j1p7Sg7SGGX68gsrWLTl1Ps0rnKzoqjg/preview,the-sankhya-aphorisms-of-kapila,/library/the-sankhya-aphorisms-of-kapila,,"Presentation of the Sankhya aphorism tradition on purusha, prakriti, tattvas, and liberation.",/library/books/the-sankhya-aphorisms-of-kapila
50,The Sankhya Karika of Iswara Krishna,HT Colebrooke,darshana,https://drive.google.com/file/d/194Lfd6Jw2t7dpTYfQ6qi6IM-qvXBa4Sf/view?usp=sharing,https://drive.google.com/file/d/194Lfd6Jw2t7dpTYfQ6qi6IM-qvXBa4Sf/preview,the-sankhya-karika-of-iswara-krishna,/library/the-sankhya-karika-of-iswara-krishna,,"Classical Sankhya summary text on ontology, causation, bondage, and release.",/library/books/the-sankhya-karika-of-iswara-krishna
51,The Sankhya Philosophy,Major BD Basu,darshana,https://drive.google.com/file/d/1tyBZFCbeBnljyowz0rEHBipUlniwXsV3/view?usp=sharing,https://drive.google.com/file/d/1tyBZFCbeBnljyowz0rEHBipUlniwXsV3/preview,the-sankhya-philosophy,/library/the-sankhya-philosophy,,"Translation or study of Sankhya metaphysics, dualism, and liberation theory.",/library/books/the-sankhya-philosophy
52,The Sankhya System by Keith,AB Keith,darshana,https://drive.google.com/file/d/1tBG8TSIkkW8m-o7noddQJLG_ij8K3VzV/view?usp=sharing,https://drive.google.com/file/d/1tBG8TSIkkW8m-o7noddQJLG_ij8K3VzV/preview,the-sankhya-system-by-keith,/library/the-sankhya-system-by-keith,,Scholarly account of Sankhya doctrine in historical and comparative perspective.,/library/books/the-sankhya-system-by-keith
53,The Vaisheshika Darshan,John Wells,darshana,https://drive.google.com/file/d/1KhbH7cA_j8ott32GEETWtQCJYshYTgnp/view?usp=sharing,https://drive.google.com/file/d/1KhbH7cA_j8ott32GEETWtQCJYshYTgnp/preview,the-vaisheshika-darshan,/library/the-vaisheshika-darshan,,"Presentation of the Vaisheshika system and its ontology of substances, qualities, and relations.",/library/books/the-vaisheshika-darshan
54,The Yogasutras of Patanjali,"Patanjali, translated by Sriram Lele",darshana,https://drive.google.com/file/d/1UGwg3WKPaB5fyDZD5VSBEfqt-gGzMtil/view?usp=sharing,https://drive.google.com/file/d/1UGwg3WKPaB5fyDZD5VSBEfqt-gGzMtil/preview,the-yogasutras-of-patanjali,/library/the-yogasutras-of-patanjali,,"Translation and explanation of Patanjali’s Yoga Sutras focused on discipline, concentration, and liberation.",/library/books/the-yogasutras-of-patanjali
55,Theories of Language,Korada Subrahmanyam,darshana,https://drive.google.com/file/d/1DkSmdPbOgQ-ZIQJayM2ipAR1R-n6Zut0/view?usp=sharing,https://drive.google.com/file/d/1DkSmdPbOgQ-ZIQJayM2ipAR1R-n6Zut0/preview,theories-of-language,/library/theories-of-language,,"Study of Indian theories of language, meaning, signification, and verbal cognition.",/library/books/theories-of-language
56,Yogasutra with Commentary of Madhavacharya,Madhvacharya,darshana,https://drive.google.com/file/d/1eVx1hKzC9VePwPjBdBs4xdJ3gnbjzRhQ/view?usp=sharing,https://drive.google.com/file/d/1eVx1hKzC9VePwPjBdBs4xdJ3gnbjzRhQ/preview,yogasutra-with-commentary-of-madhavacharya,/library/yogasutra-with-commentary-of-madhavacharya,,Yoga Sutra text accompanied by traditional commentary for philosophical and practical interpretation.,/library/books/yogasutra-with-commentary-of-madhavacharya
