node_id,title,author,type,source,domain_1,domain_2,lens
blog:tightrope,Walking the Tightrope Between Big Brother and Soma,Amritanshu Pandey,blog,library,civilizational-consciousness,history-and-civilizational-recovery,svayambodha
blog:ramajanmabhumi,Śrī Rāma Comes Back to Ayodhyā,Pankaj Saxena,blog,library,puranas-and-itihasa,civilizational-consciousness,svayambodha
blog:cultureandwarfare,Culture and Warfare - Finding Balance Through Dharma,Pankaj Saxena,blog,library,civilizational-consciousness,puranas-and-itihasa,civilizational-consciousness
blog:dasharajna3,Dāśarājña Recontextualized - Part 3,Amritanshu Pandey,blog,library,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,civilizational-consciousness
blog:dasharajna2,Dāśarājña Recontextualized - Part 2,Amritanshu Pandey,blog,library,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,civilizational-consciousness
blog:dasharajna1,Dāśarājña Recontextualized - Part 1,Amritanshu Pandey,blog,library,sindhu-sarasvati-and-origins,history-and-civilizational-recovery,civilizational-consciousness
blog:gloryofkrishnajanmashtami,Recollection: The Glory of Śrī Kṛṣṇa Janmāṣṭamī,Pankaj Saxena,blog,library,puranas-and-itihasa,festivals-and-living-tradition,svayambodha
blog:artificialintelligencetwo,"Artificial Intelligence is Here - Part 2, from Now to Henceforth",Amritanshu Pandey,blog,library,darshanas-and-philosophy,civilizational-consciousness,svayambodha
blog:freedomofexpression,Freedom of Expression,Padmavathy Manavazhahan,blog,library,indology-and-civilizational-critique,dharmashastra-and-polity,purva-paksha
blog:sanskritvsfate,Sanskṛta vs. FATE Languages,Pankaj Saxena,blog,library,language-and-sanskrit,arts-and-aesthetics,shatrubodha
blog:artificialintelligence,"Artificial Intelligence is Here - Part 1, from Before to Now",Amritanshu Pandey,blog,library,darshanas-and-philosophy,civilizational-consciousness,svayambodha
blog:decolonizinglanguage,Decolonizing Language,Pankaj Saxena,blog,library,language-and-sanskrit,history-and-civilizational-recovery,svayambodha
blog:battleagainsthindusinmanipur,The Battle Against Hindus in Manipur,Pankaj Saxena,blog,library,indology-and-civilizational-critique,dharmashastra-and-polity,shatrubodha
blog:turnersoftime,Turners of Time - How Hindu Festivals Rotate the Year,Pankaj Saxena,blog,library,festivals-and-living-tradition,puranas-and-itihasa,svayambodha
blog:indicenvironmentalism,Indic Environmentalism - A Balance between Tradition and Innovation,Akshay Jha,blog,library,civilizational-consciousness,history-and-civilizational-recovery,svayambodha
blog:dharmikagene,The Dhārmika Gene,Amritanshu Pandey,blog,library,civilizational-consciousness,indian-knowledge-systems-and-education,civilizational-consciousness
blog:chath,Chaṭh - a Living Tradition and Cultural Homecoming,Akshay Jha,blog,library,festivals-and-living-tradition,civilizational-consciousness,svayambodha
blog:svayambodha-shatrubodha,Svayambodha and Śatrubodha - Two Wheels of Civilization,Pankaj Saxena,blog,library,civilizational-consciousness,indology-and-civilizational-critique,civilizational-consciousness
blog:ramasjourney,"Rāma’s Journey – the Avatāra in You, a Fractal Maṇḍala Essay",Amritanshu Pandey,blog,library,puranas-and-itihasa,festivals-and-living-tradition,civilizational-consciousness
blog:ahoiashtami,Ahoi Aṣtamī – How Hindu Dharma Teaches Deep Ecology through Festivals,Pankaj Saxena,blog,library,festivals-and-living-tradition,civilizational-consciousness,svayambodha
blog:rathaasbija,"Ratha as a Bīja of Civilizational DNA, a Fractal Maṇḍala Essay",Amritanshu Pandey,blog,library,sindhu-sarasvati-and-origins,civilizational-consciousness,civilizational-consciousness
blog:artandmeaningmaking,Art and Meaning Making,Pankaj Saxena,blog,library,arts-and-aesthetics,civilizational-consciousness,svayambodha
blog:historyvsitihasa,History is Ontic but Itihāsa is Ontologic – a Fractal Maṇḍala Essay,Amritanshu Pandey,blog,library,history-and-civilizational-recovery,civilizational-consciousness,civilizational-consciousness
blog:problemofculturetransmission,The Problem of Culture Transmission,Pankaj Saxena,blog,library,civilizational-consciousness,festivals-and-living-tradition,svayambodha
blog:towardsdharmacentricpolity,Towards Dharma-centric Polity - Lokmanya Tilak and the Universalization of Gaṇeśa Utsava,Pankaj Saxena,blog,library,festivals-and-living-tradition,dharmashastra-and-polity,svayambodha
blog:decolonizationapersonalfootprint,Decolonization - A Personal Footprint and Some Ramp Ways,Amritanshu Pandey,blog,library,language-and-sanskrit,civilizational-consciousness,svayambodha
blog:fractalmandalatwo,Fractal Maṇḍala 2- the Macrohistoric Case for India's Civilizational Primacy,Amritanshu Pandey,blog,library,indology-and-civilizational-critique,civilizational-consciousness,svayambodha
blog:kshetrashastrautsava,"Kṣetra, Śāstra, Utsava",Pankaj Saxena,blog,library,festivals-and-living-tradition,civilizational-consciousness,svayambodha
blog:indiancivilizationalconsciousness,Indian Civilizational Consciousness,Amritanshu Pandey,blog,library,civilizational-consciousness,,civilizational-consciousness
blog:fractalmandalaone,Fractal Maṇḍala 1- the Macrohistoric Case for India's Civilizational Primacy,Amritanshu Pandey,blog,library,indology-and-civilizational-critique,civilizational-consciousness,svayambodha
blog:synaptic-reconnection-2,Preliminary Schema for Synaptic Reconnection to Civilizational Consciousness - Part 2,Amritanshu Pandey,blog,library,indology-and-civilizational-critique,civilizational-consciousness,svayambodha
blog:four-aphorisms,Caturasūtra - Four Aphorisms,Amritanshu Pandey,blog,library,civilizational-consciousness,darshanas-and-philosophy,civilizational-consciousness
blog:synaptic-reconnection-1,Preliminary Schema for Synaptic Reconnection to Civilizational Consciousness - Part 1,Amritanshu Pandey,blog,library,indology-and-civilizational-critique,civilizational-consciousness,svayambodha
blog:questforharmony,Quest for Harmony,Pankaj Saxena,blog,library,civilizational-consciousness,arts-and-aesthetics,civilizational-consciousness
question:being-indian,What does Being Indian Mean,,question,library,civilizational-consciousness,history-and-civilizational-recovery,civilizational-consciousness
question:core-of-sanatana-dharma,What is the Core of Sanatana Dharma,,question,library,indian-knowledge-systems-and-education,,
question:hindu-institution-generate,What Hindu Institution Will Generate All Others,,question,library,civilizational-consciousness,,civilizational-consciousness
question:hindu-renaissance,"What Idea Must Die, for Hindu Renaissance",,question,library,civilizational-consciousness,,civilizational-consciousness
question:hindu-unity-and-diversity,Is Hindu Unity Compatible With Indian Diversity,,question,library,civilizational-consciousness,,civilizational-consciousness
question:modernity-and-hindu-values,Is Modernity Compatible With Hindu Values,,question,library,civilizational-consciousness,,
question:new-indian-republic,Does India Need Another Republic,,question,library,civilizational-consciousness,,
question:practice-but-not-proven,"What Do Hindus Practice, but Cannot Prove",,question,library,indian-knowledge-systems-and-education,civilizational-consciousness,civilizational-consciousness
question:what-will-destroy,What Will Destroy Hindu Society,,question,library,civilizational-consciousness,indology-and-civilizational-critique,civilizational-consciousness
question:will-save-sanatana-dharma,What Will Save Sanatana Dharma,,question,library,civilizational-consciousness,indology-and-civilizational-critique,civilizational-consciousness
project:artist-in-art,The Artist in Art,,research-project,library,arts-and-aesthetics,indology-and-civilizational-critique,purva-paksha
project:battle-for-dharma-north-east,The Battle for Dharma in North-East,,research-project,library,indology-and-civilizational-critique,,shatrubodha
project:dangs-anatomy-of-religious-terror,Dangs - Anatomy of Religious Terror,,research-project,library,indology-and-civilizational-critique,,shatrubodha
project:hindu-frameworks-of-education,Hindu Frameworks of Education,,research-project,library,indian-knowledge-systems-and-education,civilizational-consciousness,
project:hindu-models-of-temple-management,Hindu Models of Temple Management,,research-project,library,civilizational-consciousness,sacred-geography-and-temple,
project:hindu-response-to-enlightenment,Hindu Response to Enlightenment,,research-project,library,civilizational-consciousness,indology-and-civilizational-critique,civilizational-consciousness
project:hindu-school-of-history,Hindu School of History,,research-project,library,history-and-civilizational-recovery,,
project:interchanging-dynamics-of-hindu-family,Interchanging Dynamics of the Hindu Family,,research-project,library,civilizational-consciousness,,
project:structure-of-hindu-charity,Structure of Hindu Charity,,research-project,library,civilizational-consciousness,,
project:temples-of-madhya-pradesh,Temples of Madhya Pradesh,,research-project,library,sacred-geography-and-temple,,
project:year-in-hajong-village,A Year in Hajong Village,,research-project,library,indology-and-civilizational-critique,,shatrubodha
thinker:ak-saran,AK Saran,,thinker,library,indian-knowledge-systems-and-education,civilizational-consciousness,svayambodha
thinker:alexander-solzhenitsyn,Alexander Solzhenitsyn,,thinker,library,indology-and-civilizational-critique,,purva-paksha
thinker:arthur-koestler,Arthur Koestler,,thinker,library,civilizational-consciousness,indology-and-civilizational-critique,purva-paksha
thinker:bernd-heinrich,Bernd Heinrich,,thinker,library,civilizational-consciousness,,purva-paksha
school:conscilience-school,School of Conscilience,,school,library,indian-knowledge-systems-and-education,,
school:cultural-traditionalists-school,School of Cultural Traditionalists,,school,library,indian-knowledge-systems-and-education,,
school:dharampal-svayambodha-school,Dharampal School of Svayambodha,,school,library,civilizational-consciousness,history-and-civilizational-recovery,svayambodha
thinker:dharampal,Dharampal,,thinker,library,indian-knowledge-systems-and-education,civilizational-consciousness,svayambodha
thinker:eo-wilson,EO Wilson,,thinker,library,civilizational-consciousness,,svayambodha
thinker:ivan-illich,Ivan Illich,,thinker,library,indology-and-civilizational-critique,civilizational-consciousness,purva-paksha
thinker:james-lovelock,James Lovelock,,thinker,library,civilizational-consciousness,,purva-paksha
thinker:kapila-vatsyayana,Kapila Vatsyayana,,thinker,library,indian-knowledge-systems-and-education,arts-and-aesthetics,
thinker:km-munshi,KM Munshi,,thinker,library,history-and-civilizational-recovery,civilizational-consciousness,civilizational-consciousness
thinker:loren-eiseley,Loren Eiseley,,thinker,library,civilizational-consciousness,,purva-paksha
thinker:ms-hiriyanna,MS Hiriyanna,,thinker,library,indian-knowledge-systems-and-education,arts-and-aesthetics,
school:narrative-non-fiction-school,School of Narrative Non-fiction,,school,library,arts-and-aesthetics,history-and-civilizational-recovery,
thinker:nassim-nicholas-taleb,Nassim Nicholas Taleb,,thinker,library,civilizational-consciousness,indology-and-civilizational-critique,purva-paksha
school:political-traditionalists-school,School of Political Traditionalists,,school,library,civilizational-consciousness,,civilizational-consciousness
thinker:ram-swarup,Ram Swarup,,thinker,library,indology-and-civilizational-critique,,purva-paksha
thinker:robert-ardrey,Robert Ardrey,,thinker,library,civilizational-consciousness,,purva-paksha
thinker:sk-rama-rao,SK Ramachandra Rao,,thinker,library,civilizational-consciousness,sacred-geography-and-temple,
school:sri-aurobindo-school,Sri Aurobindo’s School,,school,library,civilizational-consciousness,,civilizational-consciousness
school:swami-vivekananda-school,Swami Vivekananda's School,,school,library,civilizational-consciousness,,svayambodha
thinker:terence-mckenna,Terence McKenna,,thinker,library,civilizational-consciousness,,purva-paksha
thinker:theodore-dalrymple,Theodore Dalrymple,,thinker,library,civilizational-consciousness,indology-and-civilizational-critique,purva-paksha
school:voice-of-india-shatrubodha-school,Voice of India School of Śatrubodha,,school,library,indology-and-civilizational-critique,,purva-paksha
thinker:vs-naipaul,VS Naipaul,,thinker,library,civilizational-consciousness,indology-and-civilizational-critique,civilizational-consciousness
thinker:wade-davis,Wade Davis,,thinker,library,civilizational-consciousness,,purva-paksha
lab:bangladesh-riots-report,Bangladesh Riots Dec 2025 Report,,lab-note,library,dharmashastra-and-polity,,
lab:dharma-as-design,Dharma as Design,,lab-note,library,arts-and-aesthetics,,
lab:foundations-of-indian-culture,Foundations of Indian Culture,,lab-note,library,civilizational-consciousness,,
lab:islamization-of-indonesia,Islamization of Indonesia,,lab-note,library,dharmashastra-and-polity,,
lab:library-additions-20dec,New Additions to Library - Dec 25,,lab-note,library,indian-knowledge-systems-and-education,,
lab:modernity-in-tv-drama,Modernity in TV Drama,,lab-note,library,festivals-and-living-tradition,,
lab:on-mesoamerican-history,On Meso-American History,,lab-note,library,civilizational-consciousness,,
lab:on-the-pagan-view,On the Pagan Worldview,,lab-note,library,civilizational-consciousness,,
lab:sanchar-saathi,Sanchar Sathi,,lab-note,library,dharmashastra-and-polity,,
lab:sanskrit-roots-ontic-bloom,Sanskrit Roots and the Ontic Bloom,,lab-note,library,language-and-sanskrit,,
lab:western-atrocities,Western Atrocities,,lab-note,library,dharmashastra-and-polity,,
book:bol-cry-hindutva-how-rhetoric-trumps-intellect,Cry Hindutva How Rhetoric Trumps Intellect,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-german-indology-aryanism-and-anti-semitism,German Indology Aryanism and Anti Semitism,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-greeks-in-india,Greeks in India,Demettios Vasilliades,book,library,indology-and-civilizational-critique,,
book:bol-heidegger-and-the-inquiry-into-technology,Heidegger and the Inquiry into Technology,Joydeep Bagchee,book,library,indology-and-civilizational-critique,civilizational-consciousness,purva-paksha
book:bol-hindu-studies-in-a-secular-academy,Hindu Studies in a Secular Academy,Vishwa Adluri,book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-hindu-temples-vol-1,Hindu Temples Vol 1,Sita Ram Goel,book,library,sacred-geography-and-temple,indology-and-civilizational-critique,shatrubodha
book:bol-hindu-temples-vol-2,Hindu Temples Vol 2,Sita Ram Goel,book,library,sacred-geography-and-temple,indology-and-civilizational-critique,shatrubodha
book:bol-how-i-became-a-hindu,How I Became a Hindu,Sita Ram Goel,book,library,indology-and-civilizational-critique,,svayambodha
book:bol-jews-and-hindus-in-indology,Jews and Hindus in Indology,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-methods-and-context-rethinking-religion,Methods and Context Rethinking Religion,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-paradigm-lost-the-application-of-the-historical-critical-method-to-the-bhagavadgita,Paradigm Lost the Application of the Historical Critical Method to the Bhagavadgita,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-philosophy-and-criticism,Philosophy and Criticism,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,
book:bol-poetic-immortality-to-salvation,Poetic Immortality to Salvation,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,
book:bol-pride-and-prejudice-orientalism-and-germany,Pride and Prejudice Orientalism and Germany,Vishwa Adluri,book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-the-banality-of-indology,The Banality of Indology,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-the-nay-science,The Nay Science,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-the-origins-of-racism-in-the-humanities,The Origins of Racism in the Humanities,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-the-passion-of-paul-hacker,The Passion of Paul Hacker,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-the-real-threat-to-humanities-today,The Real Threat to Humanities Today,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-theses-on-indology,Theses on Indology,"Vishwa Adluri, Joydeep Bagchee",book,library,indology-and-civilizational-critique,,purva-paksha
book:bol-a-primer-of-indian-logic,A Primer of Indian Logic,S. Kuppuswami Sastri,book,library,darshanas-and-philosophy,,
book:bol-an-elementary-treatise-on-mimamsa,An Elementary Treatise on Mimamsa,Laugakshi Bhaskara,book,library,darshanas-and-philosophy,,
book:bol-gangesa's-theory-of-truth,Gangesa's Theory of Truth,Jitendra Nath Mohanty,book,library,darshanas-and-philosophy,,
book:bol-gaudapada-karika,Gaudapada Karika,Gaudapada,book,library,darshanas-and-philosophy,,
book:bol-gautama's-nyayasutras,Gautama's Nyayasutras,Gautama,book,library,darshanas-and-philosophy,,
book:bol-gheranda-samhita,Gheranda Samhita,Translated by Srisa Chandra Vasu,book,library,darshanas-and-philosophy,,
book:bol-hindu-realism-an-introduction-to-vaisheshika,Hindu Realism An Introduction to Vaisheshika,JC Chatterjee,book,library,darshanas-and-philosophy,,
book:bol-history-of-dharmashastras-vol-1,History of Dharmashastras Vol 1,PV Kane,book,library,dharmashastra-and-polity,,
book:bol-history-of-dharmashastras-vol-2-part-1,History of Dharmashastras Vol 2 Part 1,PV Kane,book,library,dharmashastra-and-polity,festivals-and-living-tradition,
book:bol-history-of-dharmashastras-vol-2-part-2,History of Dharmashastras Vol 2 Part 2,PV Kane,book,library,dharmashastra-and-polity,festivals-and-living-tradition,
book:bol-history-of-dharmashastras-vol-3,History of Dharmashastras Vol 3,PV Kane,book,library,dharmashastra-and-polity,,
book:bol-history-of-dharmashastras-vol-4,History of Dharmashastras Vol 4,PV Kane,book,library,dharmashastra-and-polity,,
book:bol-history-of-dharmashastras-vol-5-part-1,History of Dharmashastras Vol 5 Part 1,PV Kane,book,library,dharmashastra-and-polity,,
book:bol-history-of-dharmashastras-vol-5-part-2,History of Dharmashastras Vol 5 Part 2,PV Kane,book,library,dharmashastra-and-polity,,
"book:bol-logic,-language-and-reality","Logic, Language and Reality",Bimal Krishna Matilal,book,library,language-and-sanskrit,darshanas-and-philosophy,
book:bol-outline-of-hindu-philosophy,Outline of Hindu Philosophy,M. Hiriyanna,book,library,darshanas-and-philosophy,,
book:bol-paratrishika-vivarana-by-abhinavagupta,Paratrishika Vivarana by Abhinavagupta,Jaideva Singh,book,library,darshanas-and-philosophy,civilizational-consciousness,
book:bol-patanjali's-yogasutras,Patanjali's Yogasutras,Patanjali,book,library,darshanas-and-philosophy,,
book:bol-purva-mimamsa-in-its-sources,Purva Mimamsa in its Sources,Dr. Ganganatha Jha,book,library,darshanas-and-philosophy,,
book:bol-quintessence-of-brahmasutra,Quintessence of Brahmasutra,Mahamahopadhyaya Iranganti Rangacharya,book,library,darshanas-and-philosophy,,
book:bol-sankhya-philosophy-by-banerji,Sankhya Philosophy by Banerji,Chandra Banerji,book,library,darshanas-and-philosophy,,
book:bol-sastradipika,Sastradipika,"Parthasarathi Mishra, translated by D. Venkatramiah",book,library,darshanas-and-philosophy,,
book:bol-siddhantabindu,Siddhantabindu,"Srimat Madhusudana Sarasvati, translated by Achalananda",book,library,darshanas-and-philosophy,,
book:bol-six-ways-of-knowing,Six Ways of Knowing,D.M. Datta,book,library,darshanas-and-philosophy,,
book:bol-the-advaita-vedanta-of-brahmasiddhi,The Advaita Vedanta of Brahmasiddhi,Allen Wright Thrasher,book,library,darshanas-and-philosophy,,
book:bol-the-nyaya-theory-of-knowledge,The Nyaya Theory of Knowledge,S.C. Chatterjee,book,library,darshanas-and-philosophy,,
book:bol-the-paramarthasara-of-adisesa,The Paramarthasara of Adisesa,Adi Sesa,book,library,darshanas-and-philosophy,,
book:bol-the-purva-mimamsa-sutras-of-jaimini,The Purva Mimamsa Sutras of Jaimini,"Jaimini, translated by Dr. Ganganatha Jha",book,library,darshanas-and-philosophy,,
book:bol-the-sankhya-aphorisms-of-kapila,The Sankhya Aphorisms of Kapila,"Kapila, translated by J. Ballantyne",book,library,darshanas-and-philosophy,,
book:bol-the-sankhya-karika-of-iswara-krishna,The Sankhya Karika of Iswara Krishna,HT Colebrooke,book,library,darshanas-and-philosophy,,
book:bol-the-sankhya-philosophy,The Sankhya Philosophy,Major BD Basu,book,library,darshanas-and-philosophy,,
book:bol-the-sankhya-system-by-keith,The Sankhya System by Keith,AB Keith,book,library,darshanas-and-philosophy,,
book:bol-the-vaisheshika-darshan,The Vaisheshika Darshan,John Wells,book,library,darshanas-and-philosophy,,
book:bol-the-yogasutras-of-patanjali,The Yogasutras of Patanjali,"Patanjali, translated by Sriram Lele",book,library,darshanas-and-philosophy,,
book:bol-theories-of-language,Theories of Language,Korada Subrahmanyam,book,library,language-and-sanskrit,,
book:bol-yogasutra-with-commentary-of-madhavacharya,Yogasutra with Commentary of Madhavacharya,Madhvacharya,book,library,darshanas-and-philosophy,,
book:bol-a-scheme-for-knowledge-representation-in-samskritam,A Scheme for Knowledge Representation in Samskritam,P. Ramanujan,book,library,language-and-sanskrit,indian-knowledge-systems-and-education,
book:bol-bhartṛhari’s-linguistic-ontology-and-the-semantics-of-ātmanepada,Bhartṛhari’s Linguistic Ontology and the Semantics of Ātmanepada,Dilip Loundo,book,library,language-and-sanskrit,,
book:bol-essential-coomaraswamy,Essential Coomaraswamy,Ananda Coomaraswamy,book,library,arts-and-aesthetics,history-and-civilizational-recovery,civilizational-consciousness
book:bol-future-of-mankind,Future of Mankind,Sri Aurobindo,book,library,civilizational-consciousness,,civilizational-consciousness
book:bol-hindu-dharma,Hindu Dharma,S. Radhakrishnan,book,library,civilizational-consciousness,,civilizational-consciousness
book:bol-the-beautiful-tree,The Beautiful Tree,Dharampal,book,library,history-and-civilizational-recovery,,svayambodha
book:bol-the-knowledge-structure-in-the-amarakosha,The Knowledge Structure in the Amarakosha,Sivaja S. Nair,book,library,language-and-sanskrit,indian-knowledge-systems-and-education,
book:bol-the-vedas,The Vedas,Chandrasekharendra Saraswati,book,library,sruti-and-veda,,
book:bol-vākyapadīya,Vākyapadīya,Bhartṛhari,book,library,language-and-sanskrit,,
book:bol-64-arts-in-ancient-india,64 Arts in Ancient India,Anil Baran Ganguly,book,library,arts-and-aesthetics,indian-knowledge-systems-and-education,
book:bol-amarakośaḥ-devanāgarī,Amarakośaḥ Devanāgarī,Amarasiṃha,book,library,language-and-sanskrit,,
book:bol-amarakosha-english-translation,Amarakosha English Translation,NG Sardesai,book,library,language-and-sanskrit,,
book:bol-art-experience,Art Experience,M Hiriyanna,book,library,arts-and-aesthetics,,
book:bol-hindustani-music,Hindustani Music,Lakshmi Sreeram,book,library,arts-and-aesthetics,,
book:bol-historical-methods,Historical Methods,Shonaleeka Kaul,book,library,history-and-civilizational-recovery,indology-and-civilizational-critique,
book:bol-ideas-of-history-in-sanskrit-literature,Ideas of History in Sanskrit Literature,RC Majumdar,book,library,history-and-civilizational-recovery,civilizational-consciousness,svayambodha
book:bol-illustrated-amarakosha-in-4-languages,Illustrated Amarakosha in 4 Languages,Dr. H Madhav,book,library,language-and-sanskrit,,
book:bol-indian-concept-of-performance,Indian Concept of Performance,Bharat Gupt,book,library,arts-and-aesthetics,,
book:bol-introduction-to-iks,Introduction to IKS,Kapil Kapoor,book,library,indian-knowledge-systems-and-education,,
book:bol-introduction-to-sanskrit-shabdamitra,Introduction to Sanskrit Shabdamitra,"Kulkarni, Joshi et al",book,library,language-and-sanskrit,,
"book:bol-language-and-reality,-world-view-of-the-nyaya-vaisesika-system-of-indian-philosophy","Language and Reality, World View of the Nyaya-Vaisesika System of Indian Philosophy",VN Jha,book,library,darshanas-and-philosophy,language-and-sanskrit,
book:bol-on-natyashastra,On Natyashastra,Bharat Gupt,book,library,arts-and-aesthetics,,
book:bol-on-the-nature-of-mathematics-and-scientific-knowledge-in-indian-tradition,On the Nature of Mathematics and Scientific Knowledge in Indian Tradition,MD Srinivas,book,library,indian-knowledge-systems-and-education,darshanas-and-philosophy,
book:bol-the-kalās,The Kalās,A Venkatasubbiah,book,library,arts-and-aesthetics,festivals-and-living-tradition,
book:bol-a-practical-sanskrit-introductory,A Practical Sanskrit Introductory,C Wikner,book,library,language-and-sanskrit,,
book:bol-sanskrit-grammar,Sanskrit Grammar,WD Whitney,book,library,language-and-sanskrit,,
book:bol-agni-purana,Agni Purana,,book,library,puranas-and-itihasa,,
book:bol-aitareya-upanishad,Aitareya Upanishad,,book,library,sruti-and-veda,darshanas-and-philosophy,
book:bol-bhagavata-purana,Bhagavata Purana,,book,library,puranas-and-itihasa,,
