title,linkpath,change_type,current_tags,proposed_tags,cur_d1,cur_d2,cur_l1,cur_l2,new_d1,new_d2,new_l1,new_l2,d1_changed,lens_changed,reason
Indian Civilizational Consciousness,/blog/indiancivilizationalconsciousness,add-lens,civilizational-consciousness,"civilizational-consciousness, svayambodha",civilizational-consciousness,,civilizational-consciousness,,civilizational-consciousness,,civilizational-consciousness,svayambodha,,,the essay is explicitly about self-knowledge and inner orientation
"Kṣetra, Śāstra, Utsava",/blog/kshetrashastrautsava,add-lens,"festivals, tradition, mahabharata","festivals, mahabharata, tradition, svayambodha",festivals-and-living-tradition,puranas-and-itihasa,,,festivals-and-living-tradition,puranas-and-itihasa,svayambodha,,,YES,add svayambodha — essay on the three pillars of Hindu civilizational life
My Journey with Anveshi,/blog/journey-with-anveshi,add-lens,"anveshi, temple","anveshi, temple, svayambodha",sacred-geography-and-temple,festivals-and-living-tradition,,,sacred-geography-and-temple,festivals-and-living-tradition,svayambodha,,,YES,Anveshi as conscious civilizational reclamation of temple practice → svayambodha
Recollection: The Glory of Śrī Kṛṣṇa Janmāṣṭamī,/blog/gloryofkrishnajanmashtami,add-lens,"mahabharata, festivals","mahabharata, festivals, svayambodha",puranas-and-itihasa,festivals-and-living-tradition,,,puranas-and-itihasa,festivals-and-living-tradition,svayambodha,,,YES,pilgrimage to Mathura as devotional civilizational act → svayambodha
The Problem of Culture Transmission,/blog/problemofculturetransmission,add-lens,"culture, hindu-institutions, tradition","culture, hindu-institutions, tradition, svayambodha",civilizational-consciousness,festivals-and-living-tradition,,,civilizational-consciousness,festivals-and-living-tradition,svayambodha,,,YES,cultural transmission as civilizational self-preservation → svayambodha
Śrī Rāma Comes Back to Ayodhyā,/blog/ramajanmabhumi,add-lens,rama,"rama, svayambodha, shatrubodha",puranas-and-itihasa,,,,puranas-and-itihasa,civilizational-consciousness,svayambodha,shatrubodha,,YES,Ram Janmabhumi = civilizational recovery (svayambodha) + direct response to Islamic iconoclasm (shatrubodha)
राम आयेंगे!,/blog/returnoframa,add-lens,rama,"rama, svayambodha",puranas-and-itihasa,,,,puranas-and-itihasa,civilizational-consciousness,svayambodha,,,YES,devotional account of Ayodhya pratishtha groundswell → svayambodha
14 Lokas and 0 Telescopes - The Cosmos SETI Cannot Scan,/blog/14-lokas-0-telescopes,tag-quality,"technology, consciousness","cosmology, modernity, consciousness",civilizational-consciousness,darshanas-and-philosophy,modernity,,puranas-and-itihasa,civilizational-consciousness,modernity,,YES,,"replace technology (maps only to civ-consciousness) with cosmology → D1=puranas-and-itihasa (lokas, vimanas, devatas are Puranic cosmology)"
"Artificial Intelligence is Here - Part 1, from Before to Now",/blog/artificialintelligence,tag-quality,"consciousness, modernity","consciousness, modernity, civilizational-consciousness",darshanas-and-philosophy,civilizational-consciousness,modernity,,darshanas-and-philosophy,civilizational-consciousness,modernity,civilizational-consciousness,,,"add civilizational-consciousness — post argues for dharmic AI framework, not just philosophy"
"Artificial Intelligence is Here - Part 2, from Now to Henceforth",/blog/artificialintelligencetwo,tag-quality,"consciousness, modernity","consciousness, modernity, civilizational-consciousness",darshanas-and-philosophy,civilizational-consciousness,modernity,,darshanas-and-philosophy,civilizational-consciousness,modernity,civilizational-consciousness,,,same as Part 1
Book Review | Svayambodha and Shatrubodha,/blog/svayambodha-and-shatrubodha-review,tag-quality,"history, shatrubodha, review","shatrubodha, indological-critique, svayambodha",history-and-civilizational-recovery,indology-and-civilizational-critique,shatrubodha,,indology-and-civilizational-critique,civilizational-consciousness,shatrubodha,purva-paksha,YES,,drop history (wrong primary) and review (noise); explicit civilizational discourse tags
Caturasūtra - Four Aphorisms,/blog/four-aphorisms,tag-quality,"consciousness, history, civilizational-consciousness","civilizational-consciousness, consciousness",darshanas-and-philosophy,civilizational-consciousness,civilizational-consciousness,,civilizational-consciousness,darshanas-and-philosophy,civilizational-consciousness,,YES,,drop history — not a history post; four aphorisms are philosophical/civilizational
Culture and Warfare - Finding Balance Through Dharma,/blog/cultureandwarfare,tag-quality,"civilizational-consciousness, consciousness, dharma","civilizational-consciousness, mahabharata, dharma",civilizational-consciousness,darshanas-and-philosophy,civilizational-consciousness,,civilizational-consciousness,puranas-and-itihasa,civilizational-consciousness,,,,replace vague consciousness with mahabharata → D2=puranas-and-itihasa (post draws heavily on Mahabharata)
Freedom of Expression,/blog/freedomofexpression,tag-quality,"purva-paksha, review","purva-paksha, indological-critique",indology-and-civilizational-critique,,purva-paksha,,indology-and-civilizational-critique,,purva-paksha,,,,drop review (noise); add indological-critique to make domain explicit
Svayambodha and Śatrubodha - Two Wheels of Civilization,/blog/svayambodha-shatrubodha,tag-quality,"civilizational-consciousness, dharma","civilizational-consciousness, dharma, shatrubodha",civilizational-consciousness,,civilizational-consciousness,,civilizational-consciousness,indology-and-civilizational-critique,civilizational-consciousness,shatrubodha,,,add shatrubodha — the essay is about both wheels; shatrubodha should appear as explicit L2
The Difference Between Us - on One-life vs. Multiple-life Metaphysics,/blog/difference-between-us,tag-quality,"consciousness, svayambodha, shatrubodha","liberation, svayambodha, shatrubodha",darshanas-and-philosophy,civilizational-consciousness,svayambodha,shatrubodha,darshanas-and-philosophy,civilizational-consciousness,svayambodha,shatrubodha,,,replace consciousness with liberation → D1=darshanas-and-philosophy (rebirth/moksha is the liberation question)
Walking the Tightrope Between Big Brother and Soma,/blog/tightrope,tag-quality,modernity,"modernity, civilizational-consciousness",civilizational-consciousness,,modernity,,civilizational-consciousness,,modernity,civilizational-consciousness,,,add civilizational-consciousness — Orwell/Huxley framed through dharmic lens deserves both tags
"What the Bodha Logo Means - The Square, the Circle and the Eye of Wisdom",/blog/what-bodha-logo-means,tag-quality,"civilizational-consciousness, culture, consciousness","civilizational-consciousness, culture",civilizational-consciousness,darshanas-and-philosophy,civilizational-consciousness,,civilizational-consciousness,,civilizational-consciousness,,,,drop redundant consciousness — civ-consciousness already covers the philosophical dimension
A Dharmika Frame for Sustainability and Technology,/blog/dharmika-frame-for-sustainability-and-technology,no-change,"civilizational-consciousness, ecology, modernity","civilizational-consciousness, ecology, modernity",civilizational-consciousness,,civilizational-consciousness,ecology,civilizational-consciousness,,civilizational-consciousness,ecology,,,correctly classified with good lens coverage
"Bodha, the Pyramid of Priorities and the Nature of Hindu Organizations",/blog/bodha-pyramid-of-priorities-nature-of-hindu-orgs,no-change,"dharma, hindu-institutions","dharma, hindu-institutions",civilizational-consciousness,,civilizational-consciousness,,civilizational-consciousness,,civilizational-consciousness,,,,correctly classified
Civilizations as Kārmika Streams,/blog/civilizations-as-karmic-streams,no-change,"civilizational-consciousness, history, karma","civilizational-consciousness, history, karma",civilizational-consciousness,history-and-civilizational-recovery,civilizational-consciousness,,civilizational-consciousness,history-and-civilizational-recovery,civilizational-consciousness,,,,correctly classified
Decolonization - A Personal Footprint and Some Ramp Ways,/blog/decolonizationapersonalfootprint,no-change,"decolonization, history","decolonization, history",indology-and-civilizational-critique,civilizational-consciousness,svayambodha,,indology-and-civilizational-critique,civilizational-consciousness,svayambodha,,,,correctly classified with svayambodha lens
Fractal Maṇḍala 1- the Macrohistoric Case for India's Civilizational Primacy,/blog/fractalmandalaone,no-change,"decolonization, civilizational-consciousness, history","decolonization, civilizational-consciousness, history",indology-and-civilizational-critique,civilizational-consciousness,svayambodha,civilizational-consciousness,indology-and-civilizational-critique,civilizational-consciousness,svayambodha,civilizational-consciousness,,,correctly classified
Fractal Maṇḍala 2- the Macrohistoric Case for India's Civilizational Primacy,/blog/fractalmandalatwo,no-change,"decolonization, civilizational-consciousness, history","decolonization, civilizational-consciousness, history",indology-and-civilizational-critique,civilizational-consciousness,svayambodha,civilizational-consciousness,indology-and-civilizational-critique,civilizational-consciousness,svayambodha,civilizational-consciousness,,,correctly classified
"Grand History, Part 1",/blog/grandhistoryone,no-change,"history, civilizational-consciousness","history, civilizational-consciousness",history-and-civilizational-recovery,civilizational-consciousness,civilizational-consciousness,,history-and-civilizational-recovery,civilizational-consciousness,civilizational-consciousness,,,,correctly classified
How to Build a Civilization,/blog/how-to-build-a-civilization,no-change,"civilizational-consciousness, sanskrit","civilizational-consciousness, sanskrit",civilizational-consciousness,language-and-sanskrit,civilizational-consciousness,,civilizational-consciousness,language-and-sanskrit,civilizational-consciousness,,,,correctly classified
Indic Environmentalism - A Balance between Tradition and Innovation,/blog/indicenvironmentalism,no-change,"ecology, culture","ecology, culture",civilizational-consciousness,,ecology,,civilizational-consciousness,,ecology,,,,correctly classified with ecology lens
Preliminary Schema for Synaptic Reconnection to Civilizational Consciousness - Part 1,/blog/synaptic-reconnection-1,no-change,"decolonization, history, civilizational-consciousness","decolonization, history, civilizational-consciousness",indology-and-civilizational-critique,civilizational-consciousness,svayambodha,civilizational-consciousness,indology-and-civilizational-critique,civilizational-consciousness,svayambodha,civilizational-consciousness,,,correctly classified
Preliminary Schema for Synaptic Reconnection to Civilizational Consciousness - Part 2,/blog/synaptic-reconnection-2,no-change,"decolonization, history, civilizational-consciousness","decolonization, history, civilizational-consciousness",indology-and-civilizational-critique,civilizational-consciousness,svayambodha,civilizational-consciousness,indology-and-civilizational-critique,civilizational-consciousness,svayambodha,civilizational-consciousness,,,correctly classified
Quest for Harmony,/blog/questforharmony,no-change,"culture, civilizational-consciousness","culture, civilizational-consciousness",civilizational-consciousness,,civilizational-consciousness,,civilizational-consciousness,,civilizational-consciousness,,,,correctly classified
"Ratha as a Bīja of Civilizational DNA, a Fractal Maṇḍala Essay",/blog/rathaasbija,no-change,"out-of-india-theory, civilizational-consciousness","out-of-india-theory, civilizational-consciousness",sindhu-sarasvati-and-origins,civilizational-consciousness,civilizational-consciousness,,sindhu-sarasvati-and-origins,civilizational-consciousness,civilizational-consciousness,,,,correctly classified
The Battle Against Hindus in Manipur,/blog/battleagainsthindusinmanipur,no-change,"northeast-india, shatrubodha","northeast-india, shatrubodha",indology-and-civilizational-critique,,shatrubodha,,indology-and-civilizational-critique,,shatrubodha,,,,correctly classified with shatrubodha lens
The Dhārmika Gene,/blog/dharmikagene,no-change,"civilizational-consciousness, culture, indian-knowledge-systems","civilizational-consciousness, culture, indian-knowledge-systems",civilizational-consciousness,knowledge-systems-and-education,civilizational-consciousness,,civilizational-consciousness,knowledge-systems-and-education,civilizational-consciousness,,,,correctly classified
